,Windsor House School,Canada,Yes,2132,Hamilton Avenue,,North Vancouver,V7P 2M3,http://windsorhouseschool.org,,0016049033366,,https://twitter.com/WindsorHouseBC,,,,175,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2132+Hamilton+Ave/@49.3287966,-123.0962643,17z/data=!3m1!4b1!4m2!3m1!1s0x5486702c38940d81:0xc4b42614a5fc8bb0",
,Bernadotteskolen,Kingdom of Denmark,Yes,11,Hellerupvej,,Hellerup,2900,http://bernadotteskolen.skoleporten.dk,kontoret@bernadotteskolen.dk,004539621215,https://www.facebook.com/pages/Bernadotteskolen/209494549142470,,,6/16/1905,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Hellerupvej+11/@55.731595,12.572854,17z/data=!3m1!4b1!4m2!3m1!1s0x4652527c3dd0b621:0x1d298c9526c919b5",
,Det frie Gymnasium,Kingdom of Denmark,Yes,26,Mollegade,,Copenhagen,2200,http://www.detfri.dk,adm@detfri.dk,004535371111,https://www.facebook.com/detfriegymnasium,,,1970,,800,208,,,,,,,,,,,,"https://www.google.com.bd/maps/place/M%C3%B8llegade+26/@55.6925033,12.5587394,17z/data=!3m1!4b1!4m2!3m1!1s0x465253aa91e567f3:0xc530ead734a9ef44",
,A.E.N. La Prairie,French Republic,,1,Rue des Néfliers,,Toulouse,31400,http://www.ecolecollege-laprairie.fr,adm.laprairie@wanadoo.fr,0033562268360,,,,1974,,500,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1+Rue+des+N%C3%A9fliers/@43.5725904,1.4560788,17z/data=!3m1!4b1!4m2!3m1!1s0x12aebc6cfb9d552f:0x10b310773846d197",
,L'école de La Ferme des Enfants,French Republic,,Hameau des Buis,Chaulet - Casteljau,,"Berrias-et-Casteljau, Lablachère",07460,http://www.la-ferme-des-enfants.com,ecole@la-ferme-des-enfants.com,0033475350997,,,,2001,,50,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Camping+les+Tournayres/@44.40202,4.21788,17z/data=!3m1!4b1!4m2!3m1!1s0x12b4f0b6ab22ace9:0x26fe72357dc5e00b",
,Harzberg School,Federal Republic of Germany,,1,Am Harzberg,,Lügde-Harzberg,32676,http://www.bildungsschule-harzberg.de,info.bsh@web.de ,004952829696940,,,,2008,,31,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Am+Harzberg+1/@51.92816,9.20364,17z/data=!3m1!4b1!4m2!3m1!1s0x47baf4321ee5062f:0x4147d5ab0cdd4241",
,Freie Schule Leipzig e.V.,Federal Republic of Germany,Yes,67,Alte Salzstraße,,Leipzig,", 04209",http://www.freie-schule-leipzig.de,kontakt@freie-schule-leipzig.de,00493413013343,https://www.facebook.com/pages/Freie-Schule-Leipzig-The-Leipzig-Free-School/119500798134529,,,1990,,140,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Alte+Salzstra%C3%9Fe+67/@51.92816,9.20364,17z/data=!4m2!3m1!1s0x47a6f6e3224be895:0x10b0b4f8c1275f22",
,Free Democratic School Kapriole,Federal Republic of Germany,Yes,20,Oberrieder Straße,,Freiburg,79117,www.kapriole-freiburg.de ,kontakt@kapriole-freiburg.de,00497617073674,https://www.facebook.com/kapriole.freiburg,,,,,98,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Oberrieder+Stra%C3%9Fe+20/@47.98614,7.87862,17z/data=!3m1!4b1!4m2!3m1!1s0x47911cdcd221da4f:0xae57abebff10e870",
,Freie Ganztagsschule Leonardo,Federal Republic of Germany,Yes,1,Marie-Juchacz-Straße,,Jena,07749,www.leonardo-jena.de ,info@leonardo-jena.de,00493641 880050,,,,8/1/2007,,15,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Jenzigweg+37/@50.93468,11.60594,17z/data=!3m1!4b1!4m2!3m1!1s0x47a6a8aa347d214b:0xf839d00f351d1b4d",
,Netzwerk-Schule,Federal Republic of Germany,,40,Marchlewskistraße,,Berlin,10243,http://schule.netzwerkspielkultur.de,schule@netzwerkspielkultur.de ,00493040393340,,,,8/31/2008,,16,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Marchlewskistra%C3%9Fe+40/@52.51363,13.44366,17z/data=!3m1!4b1!4m2!3m1!1s0x47a84e43c84c1109:0xb2087405488e4583",
,Demokratische Schule X,Federal Republic of Germany,Yes,17a,Keilerstraße,,Berlin,13503,www.demokratische-schule-x.de,info@demokratische-schule-x.de,00493060922621,https://www.facebook.com/DemokratischeSchuleX,https://twitter.com/DSX_Berlin,,11/8/2009,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Sternstra%C3%9Fe+11/@52.56531,13.38997,17z/data=!3m1!4b1!4m2!3m1!1s0x47a8523f4ad3f289:0x5fd9a5dfc41e973a",
,TING-Schule,Federal Republic of Germany,Yes,100,Berliner Straße,,Berlin,13189 ,http://www.ting-schule.de,ting@ting-schule.de,00493047004506,https://www.facebook.com/TING.SudburySchule,,,8/1/2007,, 40,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Berliner+Stra%C3%9Fe+100/@52.56186,13.4136,17z/data=!3m1!4b1!4m2!3m1!1s0x47a8520d12ed033b:0x9c8b83a2842f7178",
,Miguel Angel Asturias Academy,Republic of Guatemala,Yes,24-43,13 Calle,Zona 3,Quetzaltenango,09001,www.asturiasacademy.org,info@asturiasacademy.org,0050277637770,https://www.facebook.com/pages/Miguel-Angel-Asturias-Academy/252279582228,https://twitter.com/asturiasacademy,,1994,,300,80,,,,,,,,,,,,"https://www.google.com.bd/maps/place/13+Calle/@14.8385545,-91.5018842,17z/data=!3m1!4b1!4m2!3m1!1s0x858ebd357d1e594d:0x700bf06162aa9b3f",
,Rogers Középiskolában,Hungary,No,21,Konkoly Thege Miklós út.,,Budapest,1121,http://www.rogers-kozepiskola.hu,rogers.kozepiskola@gmail.com,003612745758,,,,,,40,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Konkoly-Thege+Mikl%C3%B3s+%C3%BAt+21/@47.4946815,18.9603899,17z/data=!3m1!4b1!4m2!3m1!1s0x4741defe4fd378ff:0x8ba8ea9c646ecb9c",
,Rogers Általános Iskola és Óvoda,Hungary,Yes,10,Aga utca,,Budapest,1113,http://www.rogersiskola.hu,rogersinfo@rogersiskola.hu,003612093609,,,,1990,,120,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Aga+utca+10/@47.4761374,19.0278068,17z/data=!3m1!4b1!4m2!3m1!1s0x4741ddcec4438d43:0x4cf8500dc15fc39",
,Sri Atmananda Memorial School,Republic of India,,Sri Atmananda Memorial School,Malakkara,,Kerala,689 532,http://www.avef.org,avef@avef.org,,,,,,,180,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Central+University+of+Kerala/@12.3957441,75.0960159,17z/data=!3m1!4b1!4m2!3m1!1s0x3ba48764cd0e2e87:0xafd0df3db15f87bc",
,The Democratic School of Hadera,State of Israel,,Brandeis Rove,,,Hadera,38242,http://www.democratics.org.il,,0097246225261,https://www.facebook.com/tikshoret.demo,,,1987,,350,,,,,,,,,,,,,,
,Free School Mie Shure,Japan,Yes,328,Komeicho,,"Tsu City, Mie Prefecture",514-0006,http://www.mienoko.com,shure@mienoko.com,0081592131115,https://www.facebook.com/mieshure,https://twitter.com/mieshure,,2011,,22,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/328+K%C5%8Dmeich%C5%8D/@34.7318938,136.5101992,17z/data=!3m1!4b1!4m2!3m1!1s0x60040cb6ed27ab0f:0x51884fcd3247fc1b",
,Okinawa Sudbury School,Japan,Yes,20-5,Kakazu 1-Chome,,"Ginowan City, Okinawa Prefecture",901-2226,http://www.okinawa-ss.com,okinawasudbury@gmail.com,0081988901622,https://www.facebook.com/okinawasudbury,https://twitter.com/okinawasudbury,,,,,,,,,,,,,,,,"901-2226 Okinawa Prefecture, Ginowan City,Kakazu 1-Chome, 20-5","https://www.google.co.jp/maps/place/%E3%80%92901-2226+%E6%B2%96%E7%B8%84%E7%9C%8C%E5%AE%9C%E9%87%8E%E6%B9%BE%E5%B8%82%E5%98%89%E6%95%B0%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%90%E2%88%92%EF%BC%95/@26.2604458,127.7372162,17z/data=!3m1!4b1!4m2!3m1!1s0x34e56c91d50ca489:0xd064bb505c782832?hl=ja",
,Seliba Sa Boithuto,Kingdom of Lesotho,,Ha Tsautse,Main South Road,,Maseru,100,http://www.ssb.org.ls,info@ssb.org.ls,00266332190,https://www.facebook.com/ssb.maseru,,,1992,,200,,,,,,,,,,,,"Main South Road, Ha Tsautse, Qoaling, Maseru, Lesotho","https://www.google.de/maps/search/maseru+lesotho+Mpilo+Boulevard+Main+South+Road./@-29.320529,27.58461,13z/data=!3m1!4b1?hl=de",
,Aventurijn School,Kingdom of the Netherlands,Yes,1,Voorsterweg,,"Loenen, Apeldoorn",7371 GA,www.aventurijn.org ,,0031555051222,,,,2000,,40,,,,,,,,,,,,"Voorsterweg 1, 7371 GA Loene, Apeldoorn, Netherlands ","https://www.google.com.bd/maps/place/Aventurijn/@52.1318235,6.0377866,17z/data=!4m7!1m4!3m3!1s0x47c7be9ab2723fdd:0xedaca6e7c0d7b8bb!2zVm9vcnN0ZXJ3ZWcgMSwgNzM3MSBHQSBMb2VuZW4sINCd0LjQtNC10YDQu9Cw0L3QtNGL!3b1!3m1!1s0x47c7be9ab2723fdd:0xcedeac49494d69f8",
,Newschool.nu,Kingdom of the Netherlands,Yes,14,Hogepad,,Harderwijk ,3841 DL,http://newschool.nu,contact@newschool.nu,00310341269027 ,https://www.facebook.com/Newschool.nu,https://twitter.com/Newschoolnu,,,,,,,,,,,,,,,,"Hogepad 14, 3841 DL Harderwijk","https://www.google.com.bd/maps/place/Newwschool.nu/@52.3450666,5.6185957,17z/data=!4m7!1m4!3m3!1s0x47c633d9fe423f6b:0x23c0e70ed03430f0!2zSG9nZXBhZCAxNCwgMzg0MSBETCBIYXJkZXJ3aWprLCDQndC40LTQtdGA0LvQsNC90LTRiw!3b1!3m1!1s0x47c633d9fe474be5:0x5485ce06f9ebca33",
,De Ruimte Soest,Kingdom of the Netherlands,Yes,39,Insingerstraat,,Soest,3766 MA,http://www.deruimtesoest.nl,info@deruimtesoest.nl,0031356015321,https://www.facebook.com/pages/Democratische-school-De-Ruimte/240739829317416,,,2003,,40,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/De+Ruimte/@52.1614583,5.2769579,17z/data=!3m1!4b1!4m2!3m1!1s0x47c641f449d32ddb:0x50c4c43070a78896",
,Sudbury School Gent,Kingdom of Belgium,Yes,1026,Antwerpsesteenweg,,Sint-Amandsberg,9040,http://www.sudbury.be,info@sudbury.be ,003292224179,https://www.facebook.com/SudburySchoolGent,https://twitter.com/Sudbury_Gent,,2010,,12,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Sudbury/@51.0759422,3.7807416,17z/data=!3m1!4b1!4m2!3m1!1s0x47c376fd4fddbcef:0xb77397dadd913fa8",
,Tamariki School,New Zealand,Yes,86,"St Johns Street, Woolston",,Christchurch,8062,http://www.tamariki.school.nz,tamarikc@tamarikichch.schoolzone.net.nz ,006433849014,https://www.facebook.com/TamarikiSchool,,,1966,,60,,,,,,,,,,,,,"https://www.google.com/maps/place/Tamariki+School/@-43.5466809,172.6895689,17z/data=!3m1!4b1!4m2!3m1!1s0x6d3189cd6d95b93b:0x6350a5e45c279f21?hl=en",
,Hope Flowers School,State of Palestine,Yes,Hope Flowers School,,,"Al-Khader, Bethlehem",167,www.hopeflowersschool.org,hopeflowers@palnet.com,009722 2740693,https://www.facebook.com/HopeFlowersSchool,https://twitter.com/THFSchool,,1984,,150,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Bethlehem/@31.7057515,35.20266,15z/data=!3m1!4b1!4m2!3m1!1s0x1502d865aec80d67:0xf5c4213de4baf1f8",
,Autorska Szkoła Samorozwoju (ASSA),Republic of Poland,Yes,43,Kiełczowska Street,,Wroclaw,51-315,www.assa.wroc.pl ,kancelaria@assa.wroc.pl,0048713307143,https://www.facebook.com/groups/1478479615735588/,,,1990,,240,,,,,,,,,,,,,"https://www.google.com/maps/place/Spo%C5%82eczne+Liceum+Og%C3%B3lnokszta%C5%82c%C4%85ce+%22ASSA%22+Autorska+Szko%C5%82a+Samorozwoju+ASSA/@51.145883,17.124735,14z/data=!4m2!3m1!1s0x0:0xcbc775672e877f56?hl=pl",
,"Przedszkole ""Przyjaciele Żyrafy""",Republic of Poland,Yes,14/117,Ks. J. Popiełuszki,,Warszawa,01-590,http://www.przyjacielezyrafy.pl,przyjaciele.zyrafy@gmail.com,0048228324294,https://www.facebook.com/PrzyjacieleZyrafy,,,,,15,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Przyjaciele+%C5%BByrafy.+Przedszkole+niepubliczne/@52.269294,20.9762424,17z/data=!3m1!4b1!4m2!3m1!1s0x471ecbeb9c61cdad:0xc0477322702d6d94",
,Espacio A School,Puerto Rico,,157,Calle San Justo,,San Juan,00-918,www.espacioapr.org,espacioa.sanjuan@gmail.com,0017877217426,,,,2007,,20,,,,,,,,,,,,,"https://www.google.ru/maps/place/Espacio+A+School/@18.466234,-66.1157845,17z/data=!4m6!1m3!3m2!1s0x0000000000000000:0xb0a1051b390452e6!2sEspacio+A+School!3m1!1s0x0000000000000000:0xb0a1051b390452e6?hl=en",
,Nuestra Escuela,Puerto Rico,Yes,352,San Claudio Avenue,,San Juan,00-926,www.nuestraescuela.org,info@nuestraescuela.org,0017872580636,,https://twitter.com/nuestraescuela,,2000,,336,,,,,,,,,,,,,"https://maps.google.es/maps/ms?ie=UTF8&hl=es&source=embed&msa=0&msid=213537849294310573862.0004a11d87bf90cc9ec19&ll=18.298469,-65.761414&spn=0.456346,0.782776&dg=feature",
,Self-determination School №734,Russian Federation,Yes,58a,Sirenevy Bulvar,,Moscow,105484,http://cog734.mskobr.ru,school734@yandex.ru,0074994610623,,,,,,70,,,,,,,,,,,,,,
,Ojo de Agua — ambiente educativo,Kingdom of Spain,Yes,Ojo de Agua,,,"Orba, Alicante",,http://ojodeagua.es,ojodeagua.ambiente.educativo@gmail.com,0034639104274,,,,12/1/1999,,13,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Urobia+Parque+Ecol%C3%B3gico+S.L./@38.788321,-0.058101,17z/data=!3m1!4b1!4m2!3m1!1s0xd61fc8b4dec4fd7:0x11b82df8a89694ea",
,La Escuela Tximeleta,Kingdom of Spain,Yes,,Calle Loma Santa Lucia,,"Pamplona, Navarre",,http://www.tximeleta.org,escuelatximeleta@gmail.com,0034948251082,,,,,,33,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Plaza+de+los+Tilos,+6/@42.8053742,-1.6749576,17z/data=!3m1!4b1!4m2!3m1!1s0xd5092788aef0b57:0xb56080e6b8675188",
,Lernstatt School,Swiss Confederation,Yes,40,Dorfstrasse,,Nennigkofen,4574, www.lernstattschule.ch,info@lernstattschule.ch,0041326221875,,,,,,14,,,,,,,,,,,,,,
,Park-School of open projects,Ukraine,Yes,"4a bld, office 1",Geroev Stalingrada avenue,,Kiev,04211,www.parkschool.com.ua,park@parkschool.com.ua,00380442370333,https://www.facebook.com/dixischool,https://twitter.com/parkschoolua,,2010,,16,,,,,,,,,,,,,,
,Sands School,United Kingdom of Great Britain and Northern Ireland,Yes,48,East Street,,"Ashburton, Devon",TQ13 7AX,http://www.sands-school.co.uk,enquiry@sands-school.co.uk,00441364653666,,,,1987,,70,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/48+East+St/@50.5164519,-3.7536008,17z/data=!3m1!4b1!4m2!3m1!1s0x486d0212a2552931:0x5fb051bc7ec6186d",
,Self Managed Learning College,United Kingdom of Great Britain and Northern Ireland,,64,Edward Street,,Brighton,BN2 0JR,http://college.selfmanagedlearning.org,,,,,,1994,,7,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/48+East+St/@50.5164519,-3.7536008,17z/data=!3m1!4b1!4m2!3m1!1s0x486d0212a2552931:0x5fb051bc7ec6186d",
,Summerhill School,United Kingdom of Great Britain and Northern Ireland,Yes,Summerhill School,Westward Ho,,"Leiston, Suffolk",IP16 4HY,www.summerhillschool.co.uk ,office@summerhillschool.co.uk,00441728830540,,,,1921,,70,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Leiston,+Suffolk+IP16+4HY/@52.2127389,1.5723445,17z/data=!3m1!4b1!4m2!3m1!1s0x47da278f0b66dfeb:0xf68cc9215c8d6a55",
,Acorn Glen School,United States,,1547,Miller Avenue,,"Ann Arbor, MI",48103,www.acornglen.org ,acornglentemporary@gmail.com,0017345855555,,,,9/1/2014,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1547+Miller+Ave/@42.289465,-83.7671496,17z/data=!3m1!4b1!4m2!3m1!1s0x883cb1e3e8c12ccb:0xbdf44ea5595fb2e0",
,Clearview Sudbury School,United States,Yes,1507,Wilshire Boulevard,,"Austin, TX",78722,www.clearviewsudburyschool.org ,,0015125240085,https://www.facebook.com/ClearviewSudburySchool,https://twitter.com/Clearviewschool,,,,13,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1507+Wilshire+Blvd/@30.29586,-97.71111,17z/data=!3m1!4b1!4m2!3m1!1s0x8644b5f73b2ba63f:0xb724007e11b2ad49",
,Clonlara School,United States,Yes,1289,Jewett Avenue,,"Ann Arbor, MI",48104,www.clonlara.org,,0017347694511,https://www.facebook.com/ClonlaraHBEP,https://twitter.com/ClonlaraHome,,1967,,"40 campus program, 586 home based education program",,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1289+Jewett+Ave/@42.2538916,-83.7309088,17z/data=!3m1!4b1!4m2!3m1!1s0x883cafb03c7645ad:0xfc8d73bb3a6a5d1a",
,Diablo Valley School,United States,Yes,2924,Clayton Road,,"Concord, CA",94519,http://www.diablovalleyschool.org, info@diablovalleyschool.org,0019256762982,,,,1997,,270,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2924+Clayton+Rd/@37.974066,-122.024693,17z/data=!3m1!4b1!4m2!3m1!1s0x8085673185bd746b:0x9dab5a4b9e64025d",
,Dr. Pedro Albizu Campos High School,United States,Yes,2739-41,W. Division Street,,"Chicago, IL",60622,http://www.pedroalbizucamposhs.org,info@pedroalbizucamposhs.org,0017733428022,https://www.facebook.com/pedroalbizucamposcighschool,,,,,70,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1671+N+Claremont+Ave/@41.912303,-87.685848,17z/data=!3m1!4b1!4m2!3m1!1s0x880fd2bc8d89ab51:0x9c881ae666d5b04d",
,Harriet Tubman Democratic High School,United  States,Yes,59,Elizabeth Street,,"Albany, NY",12202,http://tubmanschool.org,director@tubmanschool.org,0015183308385,https://www.facebook.com/pages/Harriet-Tubman-Democratic-High-School/152743331429799,https://twitter.com/ht_dhs,,,,15,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/59+Elizabeth+St/@42.640578,-73.761795,17z/data=!3m1!4b1!4m2!3m1!1s0x89de0a10dac8fee9:0x67444a7dcce1d9ce",
,Longview School,United States,Yes,83,Main Street,,"Brewster, NY",10509,www.longviewschool.org,mark@longviewschool.org,0018452598259,https://www.facebook.com/pages/Longview-School/261109973929362,,,,,40,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/83+Main+St/@41.394204,-73.6167509,17z/data=!3m1!4b1!4m2!3m1!1s0x89dd52e673216715:0x523671144af4004",
,The Free School in Albany,United States,Yes,8,Elm Street,,"Albany, NY",12202,http://www.albanyfreeschool.org/,albanyfreeschool@gmail.com,0015184343072,https://www.facebook.com/albanyfreeschool,https://twitter.com/TFSALBANY,,2006,,50,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/BuxUp/@51.519512,-0.175911,17z/data=!3m1!4b1!4m2!3m1!1s0x48761ab20626d1f9:0x4912883aadc6006b",
,The Highland School,United States,Yes,98,Sycamore Springs Lane,,"Ellenboro, WV",26346,www.thehighlandschool.org,info@thehighlandschool.org,0013048693250,https://www.facebook.com/TheHighlandSchool,,,1981,,11,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/BuxUp/@51.519512,-0.175911,17z/data=!3m1!4b1!4m2!3m1!1s0x48761ab20626d1f9:0x4912883aadc6006b",
,Red Cedar School,United States,Yes,246,Hardscrabble Road,,"Bristol, VT",05443,www.redcedarschool.com ,redcedar@wcvt.com,0018024535213,https://www.facebook.com/pages/Red-Cedar-School/126452640788266,,,1989,,25,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Hardscrabble+Rd/@44.1806909,-73.119458,17z/data=!3m1!4b1!4m2!3m1!1s0x4cb564b2043970a5:0xc4ee915128632ae1",
,Agile Learning Center,United States,Yes,115,East 106th Street ,,New York,10029,http://nycagile.org,,0012125332826,https://www.facebook.com/NYCAgile,https://twitter.com/nycagile,,2008,,30,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/115+E+106th+St/@40.792789,-73.946825,17z/data=!3m1!4b1!4m2!3m1!1s0x89c2f6033a34dd03:0x55cbc74defdd14e8",
,The Tutorial School,United States,,400,Brunn School Road,,"Santa Fe, NM",87505,http://www.tutorialschool.org,contact@tutorialschool.org,0015059881859,https://www.facebook.com/tutorialschool,,,,,37,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/400+Brunn+School+Rd/@35.654245,-105.951165,17z/data=!3m1!4b1!4m2!3m1!1s0x87185092390d2767:0x646f6eb2073576b7",
,Roskilde Sudbury School,Kingdom of Denmark,Yes,31,Vindingevej,,Roskilde,4000,http://www.roskildesudburyskole.dk,demoskole@gmail.com,004535371111,https://www.facebook.com/roskildesudburyskole,,,8/10/2009,,7,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Vindingevej+31/@55.6384624,12.098844,17z/data=!3m1!4b1!4m2!3m1!1s0x46525fc78b367713:0x4c4e16ea8325d2f4",
,Det frie Gymnasium,Kingdom of Denmark,Yes,26,Møllegade,,Copenhagen,2200,www.detfri.dk,adm@detfri.dk,004535371111,https://www.facebook.com/detfriegymnasium,,,1970,,631,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Møllegade+26/@55.6925033,12.5587394,17z/data=!3m1!4b1!4m2!3m1!1s0x465253aa91e567f3:0xc530ead734a9ef44",
,Freie aktive Schule auf den Fildern,Federal Republic of Germany,Yes,4,Schönbuchstraße,,Leinfelden-Echterdingen,70771,http://www.pieks-fas.de,info@pieks-fas.de,00497117457377,,,,2004,,36,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Sch%C3%B6nbuchstra%C3%9Fe+4/@48.693212,9.1385818,17z/data=!3m1!4b1!4m2!3m1!1s0x4799dd44301d1015:0xd768aab659a40f83",
,Freie Humanistische Schule,Federal Republic of Germany,,2,Am Forst,Huntlosen,Großenkneten,26197,www.freie-humanistische-schule.de,info@freie-humanistische-schule.de,0049176 66848178,,,,2005,,70,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Am+Forst+2/@52.99354,8.25413,17z/data=!3m1!4b1!4m2!3m1!1s0x47b72441b29aec67:0x890324bd645d757b",
,Freie Schule Heckenbeck,Federal Republic of Germany,Yes,13,Kreuzstraße,,Bad Gandersheim,37581,www.freie-schule-heckenbeck.de,buero@freie-schule-heckenbeck.de,00495563705659,,,,5/31/2001,,81,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Freie+Schule+Heckenbeck/@51.88508,9.96461,17z/data=!3m1!4b1!4m2!3m1!1s0x47bacba54cc93df5:0xe3eebf2022af95d9",
